IID;IPROD;IDESC;IADJ;IRCT;IISS;IOPB;IYISS;IYTDU;IYSLS;IMSLS;ICLAS;IUMS;IUMP;IUMCN;IITYP;ILEAD;IVEND;IVEN2;ICUSA;IPRDA;IMIN;ILDTE;ILIST;ISCST;IACST;IFCST;ILEVL;IONOD;IDISC;INSEQ;ITSEQ;ICYC;IDRAW;IMTDU;IMRP;IACT;IORDP;IYRCT;ILOTS;IYADJ;IMCOS;IYCOS;IMUST;IORDC;IAVEU;IDSCE;IWGHT;IABBT;IABC;IPFDV;IPACK;ILABL;IDRF;ICLNG;ICWID;IPITM;ISITM;IBUYC;IFENO;IUMR;IUMRC;IFII;TAXC1;SAFLG;IIOQ;IBTCH;IYUSE;ICYCF;IPERS;ISTYL;IPODY;ITFDY;ICST1;ICST2;ICST3;ICST4;ICST5;ICST6;ICST7;ICST8;ICST9;ICSP1;ICSP2;ICSP3;ICSP4;ICSP5;ICSP6;ICSP7;ICSP8;ICSP9;ICFT1;ICFT2;ICFT3;ICFT4;ICFT5;ICFT6;ICFT7;ICFT8;ICFT9;ICFP1;ICFP2;ICFP3;ICFP4;ICFP5;ICFP6;ICFP7;ICFP8;ICFP9;ICAT1;ICAT2;ICAT3;ICAT4;ICAT5;ICAT6;ICAT7;ICAT8;ICAT9;ICAP1;ICAP2;ICAP3;ICAP4;ICAP5;ICAP6;ICAP7;ICAP8;ICAP9;ISCT1;ISCT2;ISCT3;ISCT4;ISCT5;ISCT6;ISCT7;ISCT8;ISCT9;ISCP1;ISCP2;ISCP3;ISCP4;ISCP5;ISCP6;ISCP7;ISCP8;ISCP9;IFRFG;ISACT;IUMAT;IVULI;IVULP;INCCFG;IWHS;ISOFL;ILCC;IJIT;IUNCN;IMAXR;IMINR;IPCTK;IGTEC;IMAXP;IMTDP;IYTDP;ITGQY;IARRT;IMXIN;IDMTF;IDMC1;IDMC2;IMBHD;IMBDY;IDLTR;IMQDY;IMBWT;IMPOT;IMUSC;IMUMB;IMUMA;IPURC;IMSUM;IBUSY;IDSCR;IMPSD;ILOC;IMCOM;IGLNO;IFCI;CXRCID;CXCLAS;CXPDIV;CXPPLC;CXPGAC;CXATLC;CXMFIN;CXMKSI;CXLCFP;CXTFSR;CXPDV1;CXFRC1;CXFRC2;CXFRC3;CXFRC4;CXFRC5;CXCUSC;CXEXCC;CXSCCI;CXBRCD;WID;WPROD;WWHS;WADJ;WRCT;WISS;WOPB;WOWRK;WCUSA;WSAL;WSDL;WCLAS;WPFDV;WMTDC;WYTDC;WYSDL;WYSAL;WBUYC;WORDP;WLOTS;WIOQ;WMIN;WSTDC;WACTC;WFSTC;WLEAD;WMRP;WIACT;WILOC;WPCTK;WMAXR;WMINR;WMTDP;WYTDP;WTGQY;WARRT;WMXIN;WDMTF;WDMC1;WDMC2;WMBHD;WMBDY;WDLTR;WPURC;WMPSD;LID;LWHS;LDESC;LLDTE;LYSLS;LYCOS;LSL01;LSL02;LSL03;LSL04;LSL05;LSL06;LSL07;LSL08;LSL09;LSL10;LSL11;LSL12;LLYSL;LMSLS;LADD1;LADD2;LADD3;LCOUN;LPHON;LALWH;LPOAS;LLYCS;LMCOS;LYC01;LYC02;LYC03;LYC04;LYC05;LYC06;LYC07;LYC08;LYC09;LYC10;LYC11;LYC12;LNETW;LOUTQ;WMCOMP;LALLO;LSWHS;WMNCST;LFXSHP;LFRFG;WMFAC;WMRCVR;WMDYP;WMDYM;WMTYP;WMTYM;WMAUTO;WMRLOC;WMZFLG
IM;3177313200     ;NIPPLE                        ;0;0;0;0;1;1;7,12;0;dy;EA;EA;1;1;0;3206;0;1;0;0;20220323;12,22;6,385;6,2;0;0;1;as;0;16;0;R              ;0; ;Y; ;1;1;0;0;6,39;N;0;0;                              ;0,03;       ; ;30  ;0;0;    ;0;0;               ;               ; ;0;EA;1;   ;21   ;1;0;1;6,39; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ;1;0;0; ;01; ;0; ;0;0;0;0;7307991090        ;0;0;0;0;0;0;0; ; ;0;0;0;0;0;0; ;  ;  ; ; ; ; ; ;      ;dy;                        ;   ;CX;dy;MR ;MRS;TPCA;TPCA;N;N;3;0;T ;TPCA;    ;    ;    ;TPCA;          ;  ;N;  ;WI;3177313200     ;01;0;0;0;0;0;1;0;0;dy;30  ;0;6,39;7,12;1; ; ;1;0;0;0;0;0;0; ;Y;      ;0;0;0;0;0;0;0;0;0; ; ;0;0;0; ; ;WM;01;EPIROC SPAIN                  ;20220630;17317333,3;13237834,71;2153641,42;4513670,66;3499936,72;3218670,75;3931413,75;4437938,94;3528645,83;3484470,57;2373999,33;2184208,24;3040420,37;3841010,94;12371423;5296554,92;AV JOSE GARATE, 3             ;                              ;COSLADA (MADRID)              ;ES  ;919908509      ;Y;28823    ;8254950,71;4209111,99;1400708,14;3695716,08;2605802,27;2403953,95;3131654,27;3185201,08;2473683,02;2444939,12;1589198,52;1382062,42;2074986,89;2406361,31;Y;BPCSOUTQ  ;2; ;  ;Y; ;Y;  ;0;0;0;0;0;0;      ; 
IM;3177314700     ;Manometer 0-400bar, AC        ;0;0;0;0;2;2;116,72;0;dy;EA;EA;1;1;0;3206;0;0;0;0;20220325;70,12;34,208;33,21;0;0;0;as;0;42;0;R              ;0; ;Y; ;2;1;0;0;68,42;N;0;0;0-400 BAR                     ;0,24;       ; ;30  ;0;0;    ;0;0;               ;               ; ;8;EA;1;800;21   ;1;0;1;68,42; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ;1;0;0; ;01; ;0; ;0;0;0;0;9026204000        ;0;0;0;0;0;0;0; ; ;0;0;0;0;0;0; ;  ;  ; ; ; ; ; ;      ;dy;                        ;   ;CX;dy;MR ;MRS;TPCA;TPCA;N;N;3;0;T ;TPCA;    ;    ;    ;TPCA;          ;  ;N;  ;WI;3177314700     ;01;0;0;0;0;0;0;0;0;dy;1   ;0;68,42;116,72;2; ; ;1;0;0;0;0;0;0; ;Y;      ;0;0;0;0;0;0;0;0;0; ; ;0;0;0; ; ;WM;01;EPIROC SPAIN                  ;20220630;17317333,3;13237834,71;2153641,42;4513670,66;3499936,72;3218670,75;3931413,75;4437938,94;3528645,83;3484470,57;2373999,33;2184208,24;3040420,37;3841010,94;12371423;5296554,92;AV JOSE GARATE, 3             ;                              ;COSLADA (MADRID)              ;ES  ;919908509      ;Y;28823    ;8254950,71;4209111,99;1400708,14;3695716,08;2605802,27;2403953,95;3131654,27;3185201,08;2473683,02;2444939,12;1589198,52;1382062,42;2074986,89;2406361,31;Y;BPCSOUTQ  ;2; ;  ;Y; ;Y;  ;0;0;0;0;0;0;      ; 
IM;3177317301     ;VALVULA                       ;0;0;0;0;0;0;0;0;dy;EA;EA;1;1;0;3206;0;0;0;0;20191212;423,95;219,935;170,14;0;0;0;as;0;8;0;NR             ;0; ;Y; ;0;1;0;0;0;N;0;0;                              ;0,215;       ; ;30  ;0;0;    ;0;0;               ;               ; ;8;EA;1;800;21   ;1;0;1;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ;1;0;0; ;01; ;0; ;0;0;0;0;84812010          ;0;0;0;0;0;0;0; ; ;0;0;0;0;0;0; ;  ;  ; ; ; ; ; ;      ;dy;                        ;   ;CX;dy;MR ;MRS;TPCA;TPCA;N;N;3;0;T ;TPCA;    ;    ;    ;TPCA;          ;  ;N;  ;WI;3177317301     ;01;0;0;0;0;0;0;0;0;dy;1   ;0;0;0;0; ; ;1;0;0;0;0;0;0; ;Y;      ;0;0;0;0;0;0;0;0;0; ; ;0;0;0; ; ;WM;01;EPIROC SPAIN                  ;20220630;17317333,3;13237834,71;2153641,42;4513670,66;3499936,72;3218670,75;3931413,75;4437938,94;3528645,83;3484470,57;2373999,33;2184208,24;3040420,37;3841010,94;12371423;5296554,92;AV JOSE GARATE, 3             ;                              ;COSLADA (MADRID)              ;ES  ;919908509      ;Y;28823    ;8254950,71;4209111,99;1400708,14;3695716,08;2605802,27;2403953,95;3131654,27;3185201,08;2473683,02;2444939,12;1589198,52;1382062,42;2074986,89;2406361,31;Y;BPCSOUTQ  ;2; ;  ;Y; ;Y;  ;0;0;0;0;0;0;      ; 
IM;3177502100     ;PRESSURE GAUGE                ;0;0;0;0;5;5;260,1;0;dy;EA;EA;1;1;0;3206;0;0;0;0;20220325;70,12;34,208;33,21;0;0;0;as;0;50;0;R              ;0; ;Y; ;5;1;0;0;171,05;N;0;0;57126                         ;0,295;       ; ;30  ;0;0;    ;0;0;               ;               ; ;8;EA;1;625;21   ;1;0;1;171,05; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ;1;0;0; ;01; ;0; ;0;0;0;0;9026204000        ;0;0;0;0;0;0;0; ; ;0;0;0;0;0;0; ;  ;  ; ; ; ; ; ;      ;dy;                        ;   ;CX;dy;MR ;MRS;TPCA;TPCA;N;N;3;0;T ;TPCA;    ;    ;    ;TPCA;          ;  ;N;  ;WI;3177502100     ;01;0;0;0;0;0;0;0;0;dy;1   ;0;171,05;260,1;5; ; ;1;0;0;0;0;0;0; ;Y;      ;0;0;0;0;0;0;0;0;0; ; ;0;0;0; ; ;WM;01;EPIROC SPAIN                  ;20220630;17317333,3;13237834,71;2153641,42;4513670,66;3499936,72;3218670,75;3931413,75;4437938,94;3528645,83;3484470,57;2373999,33;2184208,24;3040420,37;3841010,94;12371423;5296554,92;AV JOSE GARATE, 3             ;                              ;COSLADA (MADRID)              ;ES  ;919908509      ;Y;28823    ;8254950,71;4209111,99;1400708,14;3695716,08;2605802,27;2403953,95;3131654,27;3185201,08;2473683,02;2444939,12;1589198,52;1382062,42;2074986,89;2406361,31;Y;BPCSOUTQ  ;2; ;  ;Y; ;Y;  ;0;0;0;0;0;0;      ; 
IM;3177503100     ;PRESSURE GAUGE                ;0;0;0;0;4;4;222,33;0;dy;EA;EA;1;1;0;3206;0;0;0;0;20220426;69,63;33,969;32,98;0;0;0;as;0;26;0;R              ;0; ;Y; ;4;1;0;0;135,88;N;0;0;                              ;0,295;       ; ;30  ;0;0;    ;0;0;               ;               ; ;8;EA;1;111;21   ;1;0;1;135,88; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ;1;0;0; ;01; ;0; ;0;0;0;0;9026204000        ;0;0;0;0;0;0;0; ; ;0;0;0;0;0;0; ;  ;  ; ; ; ; ; ;      ;dy;                        ;   ;CX;dy;MR ;MRS;TPCA;TPCA;N;N;3;0;T ;TPCA;    ;    ;    ;TPCA;          ;  ;N;  ;WI;3177503100     ;01;0;0;0;0;0;0;0;0;dy;1   ;0;135,88;222,33;4; ; ;1;0;0;0;0;0;0; ;Y;      ;0;0;0;0;0;0;0;0;0; ; ;0;0;0; ; ;WM;01;EPIROC SPAIN                  ;20220630;17317333,3;13237834,71;2153641,42;4513670,66;3499936,72;3218670,75;3931413,75;4437938,94;3528645,83;3484470,57;2373999,33;2184208,24;3040420,37;3841010,94;12371423;5296554,92;AV JOSE GARATE, 3             ;                              ;COSLADA (MADRID)              ;ES  ;919908509      ;Y;28823    ;8254950,71;4209111,99;1400708,14;3695716,08;2605802,27;2403953,95;3131654,27;3185201,08;2473683,02;2444939,12;1589198,52;1382062,42;2074986,89;2406361,31;Y;BPCSOUTQ  ;2; ;  ;Y; ;Y;  ;0;0;0;0;0;0;      ; 
IM;3222989583     ;WINDOW                        ;0;0;0;0;0;0;0;0;a6;EA;EA;1;1;0;3206;0;0;0;0;20190916;1153,39;493,239;410,35;0;0;0;ar;0;8;0;NR             ;0; ;Y; ;0;1;0;0;0;N;0;0;                              ;10;       ; ;30  ;0;0;    ;0;0;               ;               ; ;1;EA;1;   ;21   ;1;0;1;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ;1;0;0; ;01; ;0; ;0;0;0;0;70071110          ;0;0;0;0;0;0;0; ; ;0;0;0;0;0;0; ;  ;  ; ;P; ; ; ;      ;a6;                        ;   ;CX;a6;MR ;MRS;SOPA;SOPA;N;N;3;0;S ;SOPA;    ;    ;    ;SOPA;          ;  ;N;  ;WI;3222989583     ;01;0;0;0;0;0;0;0;0;a6;1   ;0;0;0;0; ; ;1;0;0;0;0;0;0; ;Y;      ;0;0;0;0;0;0;0;0;0; ; ;0;0;0; ; ;WM;01;EPIROC SPAIN                  ;20220630;17317333,3;13237834,71;2153641,42;4513670,66;3499936,72;3218670,75;3931413,75;4437938,94;3528645,83;3484470,57;2373999,33;2184208,24;3040420,37;3841010,94;12371423;5296554,92;AV JOSE GARATE, 3             ;                              ;COSLADA (MADRID)              ;ES  ;919908509      ;Y;28823    ;8254950,71;4209111,99;1400708,14;3695716,08;2605802,27;2403953,95;3131654,27;3185201,08;2473683,02;2444939,12;1589198,52;1382062,42;2074986,89;2406361,31;Y;BPCSOUTQ  ;2; ;  ;Y; ;Y;  ;0;0;0;0;0;0;      ; 
IM;3222989590     ;CRISTAL ESTANDAR TECHO        ;0;0;0;0;1;1;1146,13;0;a6;EA;EA;1;1;0;3206;0;0;0;0;20220407;1549,94;662,822;643,51;0;0;0;ar;0;16;0;NR             ;0; ;Y; ;1;1;0;0;662,82;N;0;0;                              ;17,6;       ; ;30  ;0;0;    ;0;0;               ;               ; ;0;EA;1;382;21   ;1;0;1;662,82; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ;1;0;0; ;  ; ;0; ;0;0;0;0;7007212000        ;0;0;0;0;0;0;0; ; ;0;0;0;0;0;0; ;  ;  ; ;P; ; ; ;      ;a6;                        ;   ;CX;a6;MR ;MRS;SOPA;SOPA;N;N;3;0;S ;SOPA;    ;    ;    ;SOPA;          ;  ;N;  ;WI;3222989590     ;01;0;0;0;0;0;0;0;0;a6;1   ;0;662,82;1146,13;1; ; ;1;0;0;0;0;0;0; ;Y;      ;0;0;0;0;0;0;0;0;0; ; ;0;0;0; ; ;WM;01;EPIROC SPAIN                  ;20220630;17317333,3;13237834,71;2153641,42;4513670,66;3499936,72;3218670,75;3931413,75;4437938,94;3528645,83;3484470,57;2373999,33;2184208,24;3040420,37;3841010,94;12371423;5296554,92;AV JOSE GARATE, 3             ;                              ;COSLADA (MADRID)              ;ES  ;919908509      ;Y;28823    ;8254950,71;4209111,99;1400708,14;3695716,08;2605802,27;2403953,95;3131654,27;3185201,08;2473683,02;2444939,12;1589198,52;1382062,42;2074986,89;2406361,31;Y;BPCSOUTQ  ;2; ;  ;Y; ;Y;  ;0;0;0;0;0;0;      ; 
IM;3222989591     ;CRISTAL                       ;0;0;0;0;0;0;0;0;a6;EA;EA;1;1;0;3206;0;0;0;0;20210105;1688,77;722,19;648,51;0;0;0;ar;0;18;0;NR             ;0; ;Y; ;0;1;0;0;0;N;0;0;                              ;17;       ; ;30  ;0;0;    ;0;0;               ;               ; ;1;EA;1;222;21   ;1;0;1;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ;1;0;0; ;  ; ;0; ;0;0;0;0;70071110          ;0;0;0;0;0;0;0; ; ;0;0;0;0;0;0; ;  ;  ; ;P; ; ; ;      ;a6;                        ;   ;CX;a6;MR ;MRS;SOPA;SOPA;N;N;3;0;S ;SOPA;    ;    ;    ;SOPA;          ;  ;N;  ;WI;3222989591     ;01;0;0;0;0;0;0;0;0;a6;1   ;0;0;0;0; ; ;1;0;0;0;0;0;0; ;Y;      ;0;0;0;0;0;0;0;0;0; ; ;0;0;0; ; ;WM;01;EPIROC SPAIN                  ;20220630;17317333,3;13237834,71;2153641,42;4513670,66;3499936,72;3218670,75;3931413,75;4437938,94;3528645,83;3484470,57;2373999,33;2184208,24;3040420,37;3841010,94;12371423;5296554,92;AV JOSE GARATE, 3             ;                              ;COSLADA (MADRID)              ;ES  ;919908509      ;Y;28823    ;8254950,71;4209111,99;1400708,14;3695716,08;2605802,27;2403953,95;3131654,27;3185201,08;2473683,02;2444939,12;1589198,52;1382062,42;2074986,89;2406361,31;Y;BPCSOUTQ  ;2; ;  ;Y; ;Y;  ;0;0;0;0;0;0;      ; 
IM;5590000670     ;CORREA ALTERNADOR             ;0;0;0;0;5;5;361,3;0;c6;EA;EA;1;1;0;3206;0;0;0;0;20220121;97,68;51,004;49,52;0;0;0;c6;0;22;0;NR             ;0; ;Y; ;5;1;0;0;255,02;N;0;0;8PK1990 L=1994mm(cummi3289746);0,24;       ; ;30  ;0;0;    ;0;0;               ;               ; ;1;EA;1;728;21   ;1;0;1;255,02; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ;1;0;0; ;01; ;0; ;0;0;0;0;40103900          ;0;0;0;0;0;0;0; ; ;0;0;0;0;0;0; ;  ;  ; ;P; ; ; ;      ;c6;                        ;   ;CX;c6;MR ;MRS;LPCA;LPCA;N;N;3;0;L ;LPCA;    ;    ;    ;LPCA;          ;  ;N;  ;WI;5590000670     ;01;0;0;0;0;0;0;0;0;c6;1   ;0;255,02;361,3;5; ; ;1;0;0;0;0;0;0; ;Y;      ;0;0;0;0;0;0;0;0;0; ; ;0;0;0; ; ;WM;01;EPIROC SPAIN                  ;20220630;17317333,3;13237834,71;2153641,42;4513670,66;3499936,72;3218670,75;3931413,75;4437938,94;3528645,83;3484470,57;2373999,33;2184208,24;3040420,37;3841010,94;12371423;5296554,92;AV JOSE GARATE, 3             ;                              ;COSLADA (MADRID)              ;ES  ;919908509      ;Y;28823    ;8254950,71;4209111,99;1400708,14;3695716,08;2605802,27;2403953,95;3131654,27;3185201,08;2473683,02;2444939,12;1589198,52;1382062,42;2074986,89;2406361,31;Y;BPCSOUTQ  ;2; ;  ;Y; ;Y;  ;0;0;0;0;0;0;      ; 
IM;5590000703     ;CORREA VENTILADOR             ;0;0;0;0;0;0;0;0;c6;EA;EA;1;1;0;3206;0;0;0;0;20211201;72,87;38,044;35,51;0;0;0;c6;0;34;0;NR             ;0; ;Y; ;0;1;0;0;0;N;0;0;8PK1420 L=1420 POLY-V8        ;0,16;       ; ;30  ;0;0;    ;0;0;               ;               ; ;1;EA;1;728;21   ;1;0;1;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ;1;0;0; ;  ; ;0; ;0;0;0;0;40103900          ;0;0;0;0;0;0;0; ; ;0;0;0;0;0;0; ;  ;  ; ;P; ; ; ;      ;c6;                        ;   ;CX;c6;MR ;MRS;LPCA;LPCA;N;N;3;0;L ;LPCA;    ;    ;    ;LPCA;          ;  ;N;  ;WI;5590000703     ;01;0;0;0;0;0;0;0;0;c6;1   ;0;0;0;0; ; ;1;0;0;0;0;0;0; ;Y;      ;0;0;0;0;0;0;0;0;0; ; ;0;0;0; ; ;WM;01;EPIROC SPAIN                  ;20220630;17317333,3;13237834,71;2153641,42;4513670,66;3499936,72;3218670,75;3931413,75;4437938,94;3528645,83;3484470,57;2373999,33;2184208,24;3040420,37;3841010,94;12371423;5296554,92;AV JOSE GARATE, 3             ;                              ;COSLADA (MADRID)              ;ES  ;919908509      ;Y;28823    ;8254950,71;4209111,99;1400708,14;3695716,08;2605802,27;2403953,95;3131654,27;3185201,08;2473683,02;2444939,12;1589198,52;1382062,42;2074986,89;2406361,31;Y;BPCSOUTQ  ;2; ;  ;Y; ;Y;  ;0;0;0;0;0;0;      ; 
